Sous section ;Article ;PU;Nb jours ;Heures marche;consommation L/h;consommation journalière ;Prix Gasoil ;MONTANT 
AUTRE;AMBULANCE STANDARD HYUNDAI H1;188,29;26;1,00;2;2;12;624,00
AUTRE;AMBULANCE STANDARD RENAULT TRAFIC VAN L1H1;188,29;26;1,00;2;2;12;624,00
BETONNAGE ;BETONNIERE THERMIQUE 500 L BMTP RM1200;99,49;26;6,00;4;24;12;7 488,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2 T MONTABERT V32;339,51;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2 T SOOSAN SB 100 TS-P;339,51;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2 T SOOSAN SB100TS-P;339,51;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2,5 T SOOSAN SB 121 TS-P;395,06;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2,5 T SOOSAN SB121TS-P;395,06;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2,5 T SOOSAN SB125TS-P;395,06;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2,5 T SOOSAN SB125TS-P;395,06;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 3 T SOOSAN SB140TS-P;475,31;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 3 T SOOSAN SB140TS-P;475,31;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 3 T SOOSAN SQ130;475,31;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 3,2 T SOOSAN SQ140;475,31;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 3,7 T DAEMO BN480;475,31;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 4 T SOOSAN SQ150;479,01;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BULLDOZER D 6 CATERPILLAR D6 G2 XL;2060,16;26;8,00;15;120;12;37 440,00
